id,week,center_id,meal_id,checkout_price,base_price,emailer_for_promotion,homepage_featured,num_orders
1103215,1,11,1885,136.83,136.83,0,0,959
1091356,2,11,1885,133.86,135.86,0,0,1054
1195933,3,11,1885,135.86,133.86,0,0,891
1425602,4,11,1885,134.86,135.86,0,0,1107
1249127,5,11,1885,146.53,146.53,0,0,919
1195801,6,11,1885,144.53,146.53,0,0,1025
1007434,7,11,1885,146.53,144.53,0,0,959
1168988,8,11,1885,143.56,145.56,0,0,1093
1282577,9,11,1885,143.62,141.62,0,0,1014
1375012,10,11,1885,143.56,143.56,0,0,972
